;Left Ear;Left Elbow;Left Eye;Left Foot;Left Hand;Left Hip;Left Knee;Left Shoulder;Neck;Nose;Right Ear;Right Elbow;Right Eye;Right Foot;Right Hand;Right Hip;Right Knee;Right Shoulder;source;Forward_leaning;speed (km/h)
0;0.050490531;0.057840198;0.051447095;0.068582418;0.093013606;0.05939193;0.068847749;0.045914458;0.046802914;0.054064309;0.022579411;0.063267441;0.051398925;0.069880392;0.103172254;0.06087574;0.064223359;0.039759161;20180404_182019;74.97795695;20.15956152
1;0.036313605;0.047438093;0.032750844;0.063674995;0.062240818;0.034602892;0.063578577;0.046791833;0.046936014;0.037903922;0.031339106;0.056573252;0.036532286;0.069625701;0.09442523;0.039086235;0.065252778;0.045669475;20180404_182019;79.22850229;18.88099787
2;0.062273458;0.05854142;0.069154131;0.046180313;0.086770707;0.053817549;0.05673821;0.050095239;0.055467753;0.063890008;0.01920698;0.056679285;0.051882579;0.057271034;0.087838453;0.05339722;0.054418301;0.050630956;20180404_182019;77.54019455;17.77736577
3;0.033521619;0.058023833;0.045704073;0.063837824;0.064699418;0.035233172;0.057416703;0.044138884;0.043152438;0.044108334;0.039713201;0.047581734;0.042579254;0.075362617;0.088447837;0.038745296;0.060947568;0.042460244;20180404_182019;79.48170584;18.69756085
4;0.045499775;0.055045077;0.050797237;0.052646778;0.092113318;0.051987308;0.055302757;0.044509073;0.045728529;0.052940804;0.031881017;0.058836011;0.040718616;0.045723217;0.092144749;0.050005088;0.055359481;0.053263294;20180404_182232;73.78111987;20.22627816
5;0.042558363;0.047481258;0.0396202;0.062156025;0.079248516;0.039936485;0.063855618;0.057304188;0.055277406;0.039656992;0.040274497;0.06003038;0.039756289;0.049813577;0.087276038;0.043730003;0.058569335;0.053592983;20180404_182232;78.22768781;19.09582814
6;0.055159332;0.050499682;0.062345009;0.044673875;0.070840008;0.043846231;0.049807951;0.046725486;0.053397626;0.061784977;0.032960082;0.057696395;0.05862969;0.044400535;0.082941839;0.047545371;0.045355834;0.051260817;20180404_182232;79.59609746;18.11089516
7;0.037366389;0.04847609;0.037875336;0.060191288;0.057358964;0.037688004;0.062278543;0.039060609;0.038924115;0.038369143;0.03400469;0.051141303;0.036221675;0.058724302;0.089288857;0.039777177;0.054456154;0.03758156;20180404_182232;76.33636235;18.00412037
8;0.051569957;0.070423318;0.058485544;0.06330362;0.110584967;0.066991576;0.068773582;0.056210977;0.057627713;0.056420906;0.06155062;0.068501891;0.061788396;0.055734358;0.081367811;0.064129051;0.06270472;0.054342578;20180404_182959;76.67193823;18.6395296
9;0.066228611;0.067715644;0.07465313;0.047637921;0.090403574;0.064810941;0.051634996;0.045482199;0.045216524;0.085835765;0.079465838;0.060563588;0.087816849;0.05614323;0.119287136;0.064167047;0.056867945;0.044430863;20180404_182959;73.38123359;21.0338552
10;0.068038327;0.070829241;0.086657892;0.048512529;0.083202245;0.054597832;0.058163419;0.065932407;0.06921859;0.092998874;0.114872296;0.074469936;0.070233663;0.054831138;0.089648373;0.055025712;0.05655786;0.06592359;20180404_182959;76.28494505;19.72522622
11;0.073548721;0.061788709;0.098630126;0.052733273;0.058501544;0.047106787;0.052349783;0.059228769;0.05431927;0.09219307;0.090032978;0.07503007;0.080297374;0.056667776;0.108543794;0.046995956;0.052496271;0.058452627;20180404_182959;70.46930852;19.77145334
12;0.05292255;0.051615876;0.059395777;0.076961788;0.079319893;0.057805297;0.069647996;0.046032;0.0480068;0.060467052;0.060953237;0.059581666;0.058385677;0.081338867;0.078149136;0.059692641;0.070015303;0.045040439;20180404_183056;69.87614669;19.42221469
13;0.070323202;0.05755023;0.078705172;0.087514684;0.056950853;0.044958288;0.053267512;0.046514861;0.051536519;0.078972263;0.068667284;0.060053372;0.05921386;0.078556697;0.084475043;0.049322016;0.054148843;0.047463589;20180404_183056;71.36550972;18.74412337
14;0.04614373;0.05599353;0.052631523;0.083060121;0.09312168;0.058766641;0.071966346;0.045412348;0.04720263;0.05548676;0.049572753;0.069279749;0.053644005;0.082405941;0.094821642;0.064084267;0.068158402;0.049735536;20180404_183056;68.46126767;18.85532394
15;0.06052623;0.0440275;0.064687668;0.074912689;0.067570608;0.047265038;0.056051217;0.044299855;0.045436353;0.07937275;0.064726669;0.054861303;0.060352595;0.064220318;0.084464494;0.053203253;0.058044378;0.048454917;20180404_183056;74.71559621;18.07980753
16;0.028241652;0.050792526;0.027589849;0.070567119;0.074783101;0.052411482;0.059434645;0.036466857;0.037361748;0.037008986;0.037416404;0.053317246;0.034300216;0.071067379;0.067903194;0.053233992;0.055786204;0.042564077;20180404_183138;79.41536906;20.50849889
17;0.034923052;0.049374994;0.034104092;0.069775195;0.068818582;0.045132461;0.05643007;0.035307296;0.0390963;0.035550003;0.035940092;0.05218055;0.038188114;0.067238543;0.090654525;0.05029048;0.056759937;0.046391062;20180404_183138;81.67805873;19.17210159
18;0.039580375;0.0516651;0.046032174;0.067733867;0.070588556;0.048760134;0.048920946;0.043721891;0.044825913;0.051071738;0.056766437;0.057347507;0.053137252;0.064760774;0.072547148;0.050572467;0.047650727;0.048831573;20180404_183138;80.3432267;19.49040373
19;0.039851339;0.048667921;0.045205414;0.071203478;0.080545346;0.047925252;0.049566038;0.048681127;0.048489099;0.039130148;0.043951287;0.053077448;0.046178437;0.063744599;0.09485509;0.049470185;0.052384526;0.04630211;20180404_183138;74.22246388;17.99957618
20;0.052693047;0.037373764;0.057232641;0.033762283;0.073560808;0.056135236;0.060544592;0.023438555;0.021347263;0.060994269;0.079108412;0.044958738;0.060071287;0.038954727;0.056968057;0.053764081;0.057564119;0.017992376;20180404_183222;77.99452554;21.45983866
21;0.071030945;0.041255485;0.061388472;0.031637095;0.063501067;0.049888537;0.039009256;0.027730328;0.028781224;0.056434709;0.052966055;0.04497432;0.054877614;0.053660171;0.093556004;0.052704759;0.057043592;0.03138991;20180404_183222;70.10467275;20.31898777
22;0.054501919;0.051417631;0.057019293;0.041889302;0.071398068;0.052515155;0.055596859;0.034814844;0.040708785;0.056605311;0.068636339;0.047960605;0.067732111;0.046367722;0.06401773;0.052737788;0.054528074;0.037021357;20180404_183222;70.20213351;19.83648337
23;0.044923085;0.043087521;0.058895688;0.038803158;0.082533378;0.043107622;0.043610788;0.037119901;0.037545414;0.054535529;0.058360594;0.041509871;0.060601108;0.060105244;0.09370406;0.044804379;0.050594943;0.038708641;20180404_183222;73.26523346;19.92993446
24;0.061922373;0.062762607;0.070527139;0.085755903;0.089463878;0.056733134;0.068569133;0.056943128;0.058323498;0.076677326;0.090033643;0.079922604;0.065684231;0.093537684;0.087985739;0.059793265;0.064650858;0.061844625;20180404_183311;69.47559945;19.00559427
25;0.06701454;0.051562039;0.067010532;0.083065241;0.07131149;0.04411557;0.064570579;0.048213609;0.056153798;0.066128227;0.058805481;0.060517884;0.048199791;0.079594117;0.088610362;0.049956055;0.0635827;0.056020395;20180404_183311;75.28897482;19.71889367
26;0.041871942;0.049246248;0.04296192;0.073305898;0.084127499;0.051061448;0.06389956;0.042847121;0.041883644;0.042915039;0.041091096;0.053052645;0.049051325;0.085121375;0.078105399;0.054284194;0.067675109;0.043155376;20180404_183311;73.56963154;18.11768173
27;0.065947433;0.065233118;0.073529455;0.077380891;0.063832271;0.053653989;0.06828053;0.050010147;0.052738537;0.076547025;0.075561579;0.074510321;0.063544228;0.083627757;0.09730373;0.056999629;0.067371842;0.052456539;20180404_183311;69.61541781;16.76567456
28;0.041657549;0.049227354;0.040783164;0.076258253;0.074233746;0.050810336;0.066826841;0.032286517;0.033606162;0.04464492;0.050337094;0.057516274;0.037516456;0.088895872;0.072979327;0.049308736;0.070236293;0.041010458;20180404_183357;80.78965524;21.72391901
29;0.037609326;0.049999283;0.048955092;0.070714979;0.064808543;0.047729308;0.060151735;0.044121384;0.048546006;0.045270635;0.047148073;0.064485062;0.054277772;0.069361992;0.081506579;0.0495999;0.057743657;0.050372847;20180404_183357;79.95852908;19.89855934
30;0.054410847;0.049559302;0.058347358;0.063940052;0.07639434;0.056465968;0.05808541;0.042095418;0.042859047;0.061315982;0.068701385;0.058243488;0.068698972;0.07389343;0.074462239;0.059561031;0.058999218;0.049062622;20180404_183357;77.45915313;19.36455637
31;0.04247005;0.043953263;0.043201387;0.058542521;0.066912859;0.045794715;0.056551873;0.041216896;0.042590421;0.043629704;0.050040652;0.046496457;0.049205163;0.060896311;0.078213003;0.046993472;0.053473443;0.047219462;20180404_183357;85.39591596;19.01296076
32;0.046345082;0.046322643;0.055262688;0.069337286;0.078004123;0.044621911;0.063357124;0.045429164;0.047244324;0.046318024;0.054245836;0.053550704;0.04412878;0.071028012;0.062745807;0.047734346;0.052646066;0.049835365;20180404_183648;66.07606516;20.43509084
33;0.041286267;0.044299029;0.053398712;0.07257981;0.102008181;0.036938297;0.064245267;0.056974892;0.053205826;0.037168431;0.041727867;0.044518202;0.038586293;0.093134578;0.078447625;0.036401749;0.060753257;0.049912338;20180404_183648;64.69715482;21.86709346
34;0.048602837;0.047904985;0.052560375;0.066449164;0.063459372;0.040293687;0.052964256;0.040958717;0.04106002;0.052568457;0.071956046;0.046832496;0.042291105;0.070596905;0.050498905;0.045421209;0.054520815;0.037919395;20180404_183648;61.07966984;18.42548421
35;0.041904542;0.039909544;0.057511792;0.06978758;0.06848263;0.036555654;0.064471978;0.039929172;0.040692328;0.044348501;0.054784415;0.043639981;0.052673388;0.087527562;0.069865628;0.0395247;0.061835194;0.045339996;20180404_183648;70.30941025;20.11084474
36;;;;;;;;;;;;;;;;;;;20180404_183648;76.05132299;17.23768506
