;Left Ear;Left Elbow;Left Eye;Left Foot;Left Hand;Left Hip;Left Knee;Left Shoulder;Neck;Nose;Right Ear;Right Elbow;Right Eye;Right Foot;Right Hand;Right Hip;Right Knee;Right Shoulder;source;Forward_leaning;speed (km/h)
129;0.036481583;0.043382169;0.03809959;0.064462148;0.078598232;0.033271791;0.048503719;0.044955863;0.038971579;0.036089314;0.01191352;0.043386569;0.038547899;0.068296182;0.044746383;0.036831148;0.049401565;0.04876793;20180404_192204;72.29572381;-20.14427671
130;0.042877567;0.044912931;0.03541565;0.062366095;0.074984528;0.032787185;0.053805009;0.039099094;0.036791273;0.028848282;0.029414511;0.036161056;0.035735382;0.079501357;0.060282117;0.035951156;0.052818893;0.03577479;20180404_192204;68.5763244;-20.67829717
131;0.0454249;0.048820893;0.039248336;0.080285132;0.05712217;0.048427994;0.07405704;0.02812334;0.030659524;0.052148752;0.045568673;0.057295777;0.029522874;0.077402667;0.070934901;0.053826602;0.076393225;0.029413239;20180404_192300;75.49034331;20.84223739
132;0.066282868;0.027909691;0.02887033;0.053577312;0.07508893;0.049041002;0.058151267;0.018074801;0.019042387;0.045084646;0.030883878;0.042880665;0.025524047;0.074615759;0.069610916;0.046237123;0.061788653;0.019708938;20180404_192300;70.67337723;20.37288249
133;0.046476577;0.058556954;0.041524115;0.048871733;0.056589158;0.039451695;0.051147105;0.031215371;0.031607843;0.046410602;0.042039358;0.069048974;0.027416674;0.054320013;0.067052797;0.045941488;0.057189062;0.034846939;20180404_192300;77.00418061;17.46746301
134;0.044956031;0.049485228;0.041131106;0.067657832;0.062684994;0.048649831;0.06413108;0.027409256;0.026412597;0.043285389;0.032487375;0.052793148;0.028112955;0.07469078;0.065622928;0.050503702;0.062127091;0.025832331;20180404_192300;79.39349137;17.90059103
135;0.029380062;0.039794415;0.038062327;0.067711235;0.070971503;0.025491584;0.053822621;0.052974332;0.054698396;0.026940523;0.029891957;0.03731986;0.024877158;0.065617017;0.062204475;0.030094618;0.059002654;0.05851641;20180404_192512;77.07621666;20.58141127
136;0.018214154;0.04124175;0.023298186;0.067130037;0.052088718;0.030527727;0.065996418;0.053959982;0.053680063;0.019013382;0.021640188;0.045130104;0.022743456;0.059676062;0.052113514;0.03376411;0.060363935;0.052608692;20180404_192512;77.36373312;20.39440568
137;0.02275974;0.044842211;0.031749221;0.060936155;0.072580925;0.027501915;0.05279311;0.052852178;0.054412395;0.023779486;0.025082666;0.046356313;0.024707685;0.060207988;0.073978142;0.036331699;0.063610476;0.056835953;20180404_192512;73.70749313;19.68305574
138;0.026122753;0.034030869;0.026118927;0.063630163;0.049842644;0.021389186;0.051061641;0.043874367;0.043596876;0.016996003;0.016271439;0.038287637;0.016330279;0.059575166;0.055870628;0.025786905;0.053711659;0.042603616;20180404_192512;74.57768754;20.59091429
